"CarID","NameFirstPart","NameSecondPart","Year"
"vs12n","Speed 12","","0"
"vst6n","Tuscan","Speed 6","0"
"x2a8n","Alto Works","RS/Z(J) '98","98"
"x2aln","Alto Works","RS/X(J) '90","90"
"x2asn","Alto Works","Limited(J) '97","97"
"x2azn","Alto Works","RS/Z(J) '97","97"
"x2cpn","Capcino","(J) '95","95"
"x2cur","Cultus","Pikes Peak Version(J)","0"
"x2esr","Escudo","Pikes Peak Version(J)","0"
"x2ksn","Kei","S(J) '98","98"
"x2son","Cervo Mode","SR-Four(J) '90","90"
"x2w8n","Wagon R","RR(J) '98","98"
"x2wfn","Wagon R","Column FT(J) '97","97"
"x2wrn","Wagon R","Turbo RT/S(J) '95","95"
"x2wsn","Wagon R","Aero RS(J) '97","97"
